id	severity	category	location	title	recommended_fix	status
FINDING-001	medium	logic	internal/controller/api/middleware/ratelimit.go:476	Redis rate limiter fails open on error	Add circuit breaker pattern; deny requests when rate limit backend is unavailable; consider fallback to local rate limiting	fixed
FINDING-002	low	config	docker-compose.yml:55	Weak default NATS auth token in compose file	Remove default fallback; require NATS_AUTH_TOKEN to be set explicitly in all environments; validate token strength at startup	fixed
FINDING-003	info	config	internal/controller/api/middleware/ratelimit.go:148	In-memory rate limiting doesn't protect distributed deployments	Deploy with Redis-backed rate limiting in multi-instance production environments; document this in deployment guide	fixed
FINDING-004	low	crypto	internal/controller/api/provisioning/vms.go:102-103	Password generation falls back to math/rand on crypto/rand failure	Panic or fail securely instead of falling back to non-cryptographic RNG; crypto/rand failure indicates system entropy exhaustion which should halt operations	fixed
FINDING-005	info	config	modules/servers/virtuestack/lib/VirtueStackHelper.php:445-448	SSO token passed via URL query parameter for WebUI access	Document security considerations; use short token expiry (5 minutes recommended); accept trade-off for simplicity	fixed
IMPROVEMENT-001	info	testing	internal/controller/api/admin/*.go	Missing unit tests for admin API handlers	Add unit tests for input validation, error handling, and response format	fixed
FINDING-006	high	auth	internal/controller/services/auth_service_tokens.go:20-92	Refresh token rotation lacks atomicity enabling token reuse attack	Wrap session deletion and creation in a database transaction; use SELECT FOR UPDATE when fetching session; consider using a refresh token family tracking mechanism to detect and revoke replayed tokens	open
FINDING-007	medium	auth	internal/controller/services/auth_service_password.go:109-170	Password reset flow lacks atomicity enabling potential token reuse	Wrap the password update and token marking in a database transaction; check used_at IS NULL in UPDATE WHERE clause to ensure atomicity; add unique constraint on token_hash if not present	open
FINDING-008	medium	auth	internal/controller/api/customer/routes.go:79-86	Customer auth endpoints lack rate limiting enabling brute force attacks	Add LoginRateLimit() middleware to customer auth group matching admin routes pattern; apply specifically to /login, /verify-2fa, and /refresh endpoints	open
FINDING-009	low	auth	internal/controller/api/admin/auth.go:167-170	Admin logout does not invalidate server-side session	Add session invalidation by calling authService.Logout() with session ID derived from refresh token cookie; match customer logout implementation which properly invalidates sessions	open
FINDING-010	high	auth	internal/controller/server.go:103	IP allowlist bypass via X-Forwarded-For header spoofing	Gin router created without SetTrustedProxies() configuration; attackers can spoof X-Forwarded-For header to bypass IP allowlist on provisioning API keys and customer API keys. Configure router.SetTrustedProxies([]string{"127.0.0.1", "::1"}) or the nginx proxy IP range to only trust headers from known reverse proxies.	open
FINDING-011	info	crypto	internal/controller/api/middleware/auth.go:526-529	SHA-256 for API key hash lookup is acceptable	SHA-256 is appropriate for API key storage (unlike passwords). API keys have high entropy (32+ random bytes) making offline brute-force infeasible. PostgreSQL parameterized queries prevent timing attacks on hash comparison. No action required - this is a security confirmation, not a vulnerability.	n/a
FINDING-012	info	auth	internal/controller/services/webhook.go:733-752	TestWebhook method does not verify webhook ownership	Add customerID parameter to TestWebhook and verify webhook belongs to customer before queueing test delivery; currently relies on handler to verify ownership which creates inconsistent API	open
FINDING-013	info	auth	internal/controller/services/rbac_service.go:107-119	CheckPermission returns false for customer VM access without ownership context	This is by design (ownership checked in specific CanX methods) but could cause issues if CheckPermission is called directly; document this behavior clearly or add ownership parameters	open
AUDIT-001	info	crypto	internal/shared/crypto/*.go	Tier 1 Secrets & Cryptography audit - Encryption	Verified AES-256-GCM implementation: proper key validation (32 bytes/64 hex chars), random nonce generation via crypto/rand, nonce prepended to ciphertext, base64 encoding for safe storage, ciphertext length validation prevents panic on short input. No ECB/CBC/DES/RC4 usage found.	verified
AUDIT-002	info	crypto	internal/shared/crypto/*.go	Tier 1 Secrets & Cryptography audit - Random Generation	Verified crypto/rand usage throughout: GenerateRandomToken, GenerateRandomBytes, GenerateRandomDigits (with rejection sampling for modulo bias), GenerateMACAddress, GenerateEncryptionKey. No math/rand for security values. All random generation uses io.ReadFull(rand.Reader, ...).	verified
AUDIT-003	info	crypto	internal/controller/services/auth_service.go:49-55	Tier 1 Secrets & Cryptography audit - Password Hashing	Verified Argon2id with OWASP-recommended parameters: Memory=64MB (65536 KB), Iterations=3, Parallelism=4, SaltLength=16, KeyLength=32. No bcrypt/scrypt usage. Password strength validation enforces 12+ chars with upper/lower/digit/special.	verified
AUDIT-004	info	crypto	internal/controller/api/middleware/auth.go:493-515	Tier 1 Secrets & Cryptography audit - JWT Security	Verified JWT implementation: HMAC-SHA256 enforced via jwt.WithValidMethods([]string{jwt.SigningMethodHS256.Alg()}), prevents algorithm confusion attacks. Token fingerprinting for safe logging (first 8 chars of SHA-256 hash). JWTSecret minimum 32 chars enforced, production rejects known weak defaults.	verified
AUDIT-005	info	crypto	internal/shared/config/config.go:19-29	Tier 1 Secrets & Cryptography audit - Secret Management	Verified Secret type implementation: String() returns "[REDACTED]", MarshalJSON() returns redacted JSON, Value() for actual access. Prevents accidental logging or serialization of secrets. Production config validates JWT_SECRET, ENCRYPTION_KEY, DATABASE_URL against known weak defaults.	verified
AUDIT-006	info	crypto	internal/controller/services/auth_service_login.go:113-129	Tier 1 Secrets & Cryptography audit - Timing Safety	Verified constant-time comparisons: backup code verification uses subtle.ConstantTimeCompare, CSRF validation uses subtle.ConstantTimeCompare, TOTP validation uses pquerna/otp library (time-based, no timing attack applicable). Refresh tokens hashed with SHA-256 before lookup.	verified
FINDING-014	high	authz	migrations/000001_initial_schema.up.sql and internal/controller/repository/db.go:78	RLS policies never activated at runtime	SetCustomerContext function exists to set app.current_customer_id but is never called; RLS policies reference current_setting() which returns NULL; application relies entirely on application-level WHERE clauses for customer isolation. Either implement RLS activation with SET ROLE app_customer or remove unused RLS infrastructure.	open
FINDING-015	medium	authz	migrations/000037_admin_backup_schedules.up.sql:109	Missing RLS policy on admin_backup_schedules table	Table has GRANT SELECT TO app_customer but no RLS policy; customers can view all admin backup schedules including targeting criteria and configuration. Either add RLS policy or remove GRANT SELECT to app_customer.	open
FINDING-016	critical	path-traversal	internal/nodeagent/grpc_handlers_storage.go:141-164	TransferDisk allows arbitrary file read via unvalidated source path	sourcePath from gRPC request used directly in os.Open() without calling validatePath(); attacker with gRPC access can read any file on the node including /etc/shadow, private keys, database files. Add validatePath(sourcePath, h.server.config.StoragePath) before os.Open().	open
FINDING-017	high	path-traversal	internal/nodeagent/grpc_handlers_qcow_internal.go:66-106,109-134,137-150	QCOW backup/restore functions lack path validation	backupPath and targetPath parameters used in os.Stat(), os.MkdirAll(), os.Remove(), exec.Command() without validatePath() calls; allows arbitrary file read/write/delete. Add validatePath() calls for all user-provided paths before file operations.	open
FINDING-018	high	symlink	internal/nodeagent/server.go:888-896	validatePath does not check for symlink escape attacks	filepath.Clean() and prefix check do not prevent symlink attacks; attacker can create symlink inside allowed directory pointing outside, then validatePath succeeds but operation follows symlink to sensitive file. Use filepath.EvalSymlinks() on both path and base directory, then compare resolved paths.	open
FINDING-019	medium	path-traversal	internal/nodeagent/storage/cloudinit.go:94-96	Cloud-init Delete uses vmID without path traversal validation	vmID used in filepath.Join() without validation; if vmID contains "../" characters, could delete files outside intended directory. Validate vmID format (should be UUID) before constructing path.	open
FINDING-020	medium	path-traversal	internal/nodeagent/storage/qcow.go:53-59,83-119	imagePath() allows absolute paths bypassing basePath	If imageName is absolute path, imagePath() returns it as-is (lines 55-57), bypassing basePath restriction. CloneFromTemplate and CloneSnapshotToPool use filepath.Join with user parameters without validation. Add validatePath() or ensure all paths are relative and validated.	open
FINDING-021	medium	path-traversal	internal/controller/services/template_service.go:189	Template Import uses sourcePath without validation	sourcePath from function parameter used directly in os.Stat() without validation; admin could inadvertently or maliciously access files outside template directories. Add path validation against allowed template source directories.	open
